Player/Position/Team/Season,Player,Position,Team,Season ,Game Strength State,Player (Original),GP,Season,TOI,TOI%,TOI% QoC,TOI% QoT
NATHAN BEAULIEUDWPG20-21,Nathan Beaulieu,D,WPG,20-21,Power Play,NATHAN BEAULIEU,25,20202021,2.533333333,2.00%,33.20%,40.71%
JAKE GARDINERDCAR20-21,Jake Gardiner,D,CAR,20-21,Power Play,JAKE GARDINER,26,20202021,46.53333333,36.75%,35.32%,35.93%
MIKKO LEHTONENDCBJ/TOR20-21,Mikko Lehtonen,D,CBJ/TOR,20-21,Power Play,MIKKO LEHTONEN,26,20202021,17.66666667,20.25%,39.12%,39.73%
VICTOR METEDMTL/OTT20-21,Victor Mete,D,MTL/OTT,20-21,Power Play,VICTOR METE,28,20202021,11.25,8.64%,36.35%,35.70%
ERIK GUSTAFSSONDPHI/MTL20-21,Erik Gustafsson,D,PHI/MTL,20-21,Power Play,ERIK GUSTAFSSON,29,20202021,66.18333333,44.84%,39.13%,43.17%
DYLAN COGHLANDVGK20-21,Dylan Coghlan,D,VGK,20-21,Power Play,DYLAN COGHLAN,29,20202021,12.91666667,8.51%,36.10%,41.62%
MARKUS NUTIVAARADFLA20-21,Markus Nutivaara,D,FLA,20-21,Power Play,MARKUS NUTIVAARA,30,20202021,17.78333333,9.45%,31.72%,28.63%
ERIK BRANNSTROMDOTT20-21,Erik Brannstrom,D,OTT,20-21,Power Play,ERIK BRANNSTROM,30,20202021,53.95,36.28%,39.12%,41.63%
CONOR TIMMINSDCOL20-21,Conor Timmins,D,COL,20-21,Power Play,CONOR TIMMINS,31,20202021,5.6,3.01%,33.31%,23.72%
COLTON PARAYKODSTL20-21,Colton Parayko,D,STL,20-21,Power Play,COLTON PARAYKO,32,20202021,13.43333333,9.48%,35.08%,33.91%
TOBIAS BJORNFOTDL.A20-21,Tobias Bjornfot,D,L.A,20-21,Power Play,TOBIAS BJORNFOT,33,20202021,3.416666667,2.22%,35.41%,29.89%
ZACH WERENSKIDCBJ20-21,Zach Werenski,D,CBJ,20-21,Power Play,ZACH WERENSKI,35,20202021,73.6,53.12%,40.51%,44.72%
ADAM BOQVISTDCHI20-21,Adam Boqvist,D,CHI,20-21,Power Play,ADAM BOQVIST,35,20202021,118.65,59.98%,41.45%,54.52%
KRIS RUSSELLDEDM20-21,Kris Russell,D,EDM,20-21,Power Play,KRIS RUSSELL,35,20202021,6.333333333,3.68%,38.16%,34.58%
AARON EKBLADDFLA20-21,Aaron Ekblad,D,FLA,20-21,Power Play,AARON EKBLAD,35,20202021,132.75,72.07%,40.73%,69.42%
RYAN ELLISDNSH20-21,Ryan Ellis,D,NSH,20-21,Power Play,RYAN ELLIS,35,20202021,74.6,40.36%,36.97%,40.39%
JAN RUTTADT.B20-21,Jan Rutta,D,T.B,20-21,Power Play,JAN RUTTA,35,20202021,4.133333333,2.30%,20.75%,31.69%
CHRISTIAN DJOOSDDET20-21,Christian Djoos,D,DET,20-21,Power Play,CHRISTIAN DJOOS,36,20202021,88.98333333,48.42%,40.01%,44.96%
MATT GRZELCYKDBOS20-21,Matt Grzelcyk,D,BOS,20-21,Power Play,MATT GRZELCYK,37,20202021,99.7,57.13%,40.85%,60.71%
JACOB BRYSONDBUF20-21,Jacob Bryson,D,BUF,20-21,Power Play,JACOB BRYSON,38,20202021,15.1,10.30%,37.29%,35.89%
NIKITA NESTEROVDCGY20-21,Nikita Nesterov,D,CGY,20-21,Power Play,NIKITA NESTEROV,38,20202021,8.916666667,4.53%,42.00%,36.16%
