"","Team","GP","TOI/GP","W","L","OTL","ROW","Points","Point %","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","SCSF/60","SCSA/60","SCSF%","SCGF/60","SCGA/60","SCGF%","SCSH%","SCSV%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"11","Nashville Predators","28","50.5185","18","10","0","16","36","0.643","53.66","54.51","49.61","42.88","41.61","50.75","29.73","31.52","48.55","2.76","2.08","57.02","2.14","2.23","48.97","25.03","24.18","50.86","15.36","15.44","49.86","2.21","1.7","56.52","14.36","89.01","9.33","8.99","50.93","7.51","7.34","50.57","1.48","1.06","58.33","19.77","85.55","15.69","15.19","50.82","7.85","8.1","49.20","0.72","0.64","53.13","9.19","92.15","25.49","26.09","49.42","13.28","14.34","48.08","0.51","0.34","60.00","3.83","97.63","9.27","93.41","1.027"
"12","Winnipeg Jets","28","51.0054","13","13","2","13","28","0.500","56.55","54.36","50.98","42.77","41.17","50.95","31.05","29.53","51.25","2.6","2.81","48.06","2.59","2.77","48.32","28.9","27.52","51.23","16.68","16.76","49.87","2.44","2.6","48.33","14.61","84.46","10.55","12.9","44.98","7.73","9.07","46.00","1.68","1.76","48.78","21.74","80.56","18.36","14.62","55.67","8.95","7.69","53.79","0.76","0.84","47.37","8.45","89.07","24.41","23.4","51.05","12.73","11.43","52.70","0.08","0.13","40.00","0.66","98.90","8.39","90.47","0.989"
"13","Arizona Coyotes","28","50.6786","12","12","4","10","28","0.500","53.36","54.5","49.47","39.96","40.76","49.50","27.44","27.99","49.50","2.28","2.58","46.96","2.4","2.49","49.06","24.99","26.68","48.36","14.29","14.97","48.84","1.99","2.2","47.47","13.91","85.31","11.33","10.74","51.34","7.82","7.4","51.39","1.14","1.18","49.09","14.59","84.00","13.66","15.94","46.14","6.47","7.57","46.08","0.85","1.01","45.45","13.07","86.59","24.9","24.52","50.38","11.97","11.8","50.36","0.3","0.21","58.33","2.47","98.21","8.32","90.79","0.991"
"14","Vegas Golden Knights","28","51.1286","21","5","2","20","44","0.786","60.6","53.81","52.97","43.8","37.38","53.95","30.64","26.99","53.16","3.14","2.1","60.00","2.9","2.38","54.94","30.85","27.16","53.18","17.85","14.79","54.69","2.6","1.8","59.05","14.55","87.82","12.2","10.02","54.91","8.93","7.42","54.62","1.59","1.3","55.07","17.84","82.49","18.65","17.14","52.11","8.93","7.38","54.76","1.01","0.5","66.67","11.27","93.18","24.39","21.84","52.77","11.11","10.6","51.16","0.46","0.29","61.11","4.15","97.23","10.26","92.24","1.025"
"15","Los Angeles Kings","28","51.5863","9","14","5","9","23","0.411","49.85","54.21","47.90","38.71","41.58","48.22","28","28.7","49.38","2.2","2.66","45.30","2.26","2.69","45.64","23.97","28.33","45.83","13.96","16.12","46.41","1.95","2.33","45.63","13.99","85.57","10.09","11.42","46.91","6.94","8.31","45.50","1.66","1.37","54.79","23.95","83.50","13.87","16.91","45.07","7.02","7.81","47.34","0.29","0.96","23.33","4.14","87.77","21.89","21.97","49.91","12.34","11.22","52.38","0.08","0.17","33.33","0.67","98.52","7.86","90.74","0.986"
"16","Ottawa Senators","28","50.522","14","10","4","13","32","0.571","55.65","57.94","48.99","43.05","42.84","50.12","30.54","30.75","49.83","2.71","2.5","52.03","2.3","2.12","51.98","25.58","24.6","50.97","14.89","14","51.54","2.29","1.82","55.67","15.38","86.97","10.39","8.82","54.08","7.42","6.45","53.52","1.57","1.15","57.81","21.14","82.24","15.18","15.78","49.04","7.46","7.55","49.72","0.72","0.68","51.52","9.66","91.01","25.53","28.29","47.44","13.95","15.27","47.75","0.25","0.47","35.29","1.82","96.94","8.89","91.86","1.008"
"17","Calgary Flames","28","50.272","15","12","1","15","31","0.554","55.37","44.59","55.39","43.44","35.17","55.26","29.62","25.23","54.00","2.98","2.47","54.69","2.53","1.94","56.54","28.09","21.18","57.01","17.77","13.68","56.50","2.69","2.26","54.31","15.11","83.49","10.91","7.8","58.31","8.44","6.31","57.23","1.45","1.36","51.52","17.17","78.38","17.18","13.38","56.21","9.33","7.37","55.87","1.24","0.9","58.00","13.24","87.86","24","20.12","54.40","10.61","10.36","50.61","0.21","0.21","50.00","2.01","97.94","10.07","90.20","1.003"
"18","Pittsburgh Penguins","28","51.6643","22","4","2","20","46","0.821","48.36","49.81","49.26","36.46","38.45","48.67","28.08","30.03","48.32","3.28","1.95","62.70","2.3","2.19","51.23","24.01","22.31","51.84","15.39","15.47","49.87","2.53","1.62","61.00","16.44","89.54","9.25","9.66","48.90","7.8","8.38","48.21","1.74","1.04","62.69","22.34","87.62","14.77","12.65","53.86","7.59","7.09","51.69","0.79","0.58","57.58","10.38","91.81","21.24","24.22","46.72","11.53","13.31","46.41","0.5","0.33","60.00","4.32","97.51","11.67","93.51","1.052"
"19","New York Islanders","28","53.3464","21","4","3","18","45","0.804","51.34","53.38","49.02","38.56","38.8","49.84","28.88","27.88","50.88","3.05","2.09","59.38","2.56","2.06","55.44","29.12","27.03","51.86","18.76","15.83","54.24","2.81","1.69","62.50","14.99","89.34","13.5","9","60.00","10.93","6.75","61.82","2.25","1.12","66.67","20.59","83.33","15.63","18.04","46.42","7.83","9.08","46.32","0.56","0.56","50.00","7.18","93.81","19.16","22.94","45.52","9","10.93","45.16","0.2","0.36","35.71","2.23","96.69","10.57","92.51","1.031"
"20","St Louis Blues","28","51.3982","12","11","5","12","29","0.518","50.82","53.2","48.86","38.36","39.65","49.17","30.18","28.81","51.17","2.75","2.75","50.00","2.08","2.63","44.14","23.64","25.1","48.50","15.43","15.38","50.07","2.17","2.33","48.15","14.05","84.82","7.5","10.3","42.15","5.96","7.46","44.41","1.25","1.63","43.48","20.98","78.21","16.13","14.8","52.16","9.46","7.92","54.44","0.92","0.71","56.41","9.69","91.05","22.18","23.31","48.76","12.92","12.09","51.67","0.54","0.33","61.90","4.19","97.24","9.12","90.45","0.996"
"21","Anaheim Ducks","28","50.9286","6","18","4","5","16","0.286","53.81","55.5","49.23","40.48","41.87","49.16","27.22","30.17","47.43","2.02","3.24","38.40","2.21","2.65","45.51","24.99","29.03","46.26","15.15","18.81","44.61","1.73","3.03","36.28","11.39","83.89","10.9","12.5","46.58","7.95","9.68","45.11","1.22","2.15","36.25","15.34","77.83","14.1","16.54","46.02","7.19","9.13","44.07","0.5","0.88","36.36","7.02","90.32","24.7","23.94","50.78","10.52","10.65","49.70","0.25","0.17","60.00","2.40","98.42","7.42","89.26","0.967"
