Player/Position/Team/Season,Player,Position,Team,Season ,Game Strength State,Player (Original),GP,Season,TOI,TOI%,TOI% QoC,TOI% QoT
PIERRE-OLIVIER JOSEPHDPIT20-21,Pierre-olivier Joseph,D,PIT,20-21,Even Strength,PIERRE-OLIVIER JOSEPH,16,20202021,250.95,30.60%,28.75%,28.81%
CHAD RUHWEDELDPIT20-21,Chad Ruhwedel,D,PIT,20-21,Even Strength,CHAD RUHWEDEL,17,20202021,220.1666667,25.51%,28.18%,26.63%
NICK HOLDENDVGK20-21,Nick Holden,D,VGK,20-21,Even Strength,NICK HOLDEN,17,20202021,257.3833333,30.39%,28.35%,26.77%
HAMPUS LINDHOLMDANA20-21,Hampus Lindholm,D,ANA,20-21,Even Strength,HAMPUS LINDHOLM,18,20202021,338.0333333,37.30%,29.19%,27.45%
DAN RENOUFDCOL20-21,Dan Renouf,D,COL,20-21,Even Strength,DAN RENOUF,18,20202021,174.8,19.70%,27.70%,25.92%
SLATER KOEKKOEKDEDM20-21,Slater Koekkoek,D,EDM,20-21,Even Strength,SLATER KOEKKOEK,18,20202021,198.5666667,23.17%,28.23%,27.52%
KALE CLAGUEDL.A20-21,Kale Clague,D,L.A,20-21,Even Strength,KALE CLAGUE,18,20202021,267.3333333,30.77%,28.62%,26.18%
CHRISTIAN WOLANINDOTT/L.A20-21,Christian Wolanin,D,OTT/L.A,20-21,Even Strength,CHRISTIAN WOLANIN,18,20202021,212.4,23.59%,28.25%,26.45%
JALEN CHATFIELDDVAN20-21,Jalen Chatfield,D,VAN,20-21,Even Strength,JALEN CHATFIELD,18,20202021,221.95,25.83%,28.17%,26.81%
NICOLAS BEAUDINDCHI20-21,Nicolas Beaudin,D,CHI,20-21,Even Strength,NICOLAS BEAUDIN,19,20202021,235.8833333,24.51%,28.37%,28.01%
BOWEN BYRAMDCOL20-21,Bowen Byram,D,COL,20-21,Even Strength,BOWEN BYRAM,19,20202021,309.8333333,33.89%,28.42%,28.53%
WILLIAM LAGESSONDEDM20-21,William Lagesson,D,EDM,20-21,Even Strength,WILLIAM LAGESSON,19,20202021,243.8333333,26.03%,28.25%,26.40%
ALEX CARRIERDNSH20-21,Alex Carrier,D,NSH,20-21,Even Strength,ALEX CARRIER,19,20202021,334.2166667,34.15%,28.70%,27.63%
BRAYDON COBURNDOTT/NYI20-21,Braydon Coburn,D,OTT/NYI,20-21,Even Strength,BRAYDON COBURN,19,20202021,250.3,27.55%,28.33%,26.23%
STEVEN KAMPFERDBOS20-21,Steven Kampfer,D,BOS,20-21,Even Strength,STEVEN KAMPFER,20,20202021,295.4833333,30.66%,27.98%,26.77%
TREVOR VAN RIEMSDYKDWSH20-21,Trevor Van Riemsdyk,D,WSH,20-21,Even Strength,TREVOR VAN RIEMSDYK,20,20202021,300.8,30.16%,28.27%,27.12%
JARRED TINORDIDBOS/NSH20-21,Jarred Tinordi,D,BOS/NSH,20-21,Even Strength,JARRED TINORDI,21,20202021,294.0333333,28.30%,28.17%,26.82%
MICHAEL STONEDCGY20-21,Michael Stone,D,CGY,20-21,Even Strength,MICHAEL STONE,21,20202021,287.85,28.02%,27.78%,25.87%
WYATT KALYNUKDCHI20-21,Wyatt Kalynuk,D,CHI,20-21,Even Strength,WYATT KALYNUK,21,20202021,307.2833333,29.31%,28.32%,28.09%
RILEY STILLMANDCHI/FLA20-21,Riley Stillman,D,CHI/FLA,20-21,Even Strength,RILEY STILLMAN,21,20202021,295.0333333,28.05%,28.59%,27.66%
MATT TENNYSONDN.J20-21,Matt Tennyson,D,N.J,20-21,Even Strength,MATT TENNYSON,21,20202021,277.15,25.99%,28.42%,26.51%
MARK BOROWIECKIDNSH20-21,Mark Borowiecki,D,NSH,20-21,Even Strength,MARK BOROWIECKI,22,20202021,254.7333333,23.93%,28.23%,25.98%
JOSH MANSONDANA20-21,Josh Manson,D,ANA,20-21,Even Strength,JOSH MANSON,23,20202021,349.4833333,29.64%,29.48%,26.82%
WILL BUTCHERDN.J20-21,Will Butcher,D,N.J,20-21,Even Strength,WILL BUTCHER,23,20202021,393.5833333,33.38%,28.42%,26.54%
OLLI JUOLEVIDVAN20-21,Olli Juolevi,D,VAN,20-21,Even Strength,OLLI JUOLEVI,23,20202021,281.8333333,26.06%,27.70%,26.34%
JAMIE DRYSDALEDANA20-21,Jamie Drysdale,D,ANA,20-21,Even Strength,JAMIE DRYSDALE,24,20202021,397.3,32.51%,29.07%,26.23%
MATT IRWINDBUF20-21,Matt Irwin,D,BUF,20-21,Even Strength,MATT IRWIN,24,20202021,339.5,27.73%,28.65%,27.16%
JAKE WALMANDSTL20-21,Jake Walman,D,STL,20-21,Even Strength,JAKE WALMAN,24,20202021,319.1833333,26.12%,28.13%,27.12%
NATHAN BEAULIEUDWPG20-21,Nathan Beaulieu,D,WPG,20-21,Even Strength,NATHAN BEAULIEU,25,20202021,368.3166667,29.41%,28.24%,27.22%
JAKE GARDINERDCAR20-21,Jake Gardiner,D,CAR,20-21,Even Strength,JAKE GARDINER,26,20202021,365.9333333,28.43%,28.07%,26.92%
MIKKO LEHTONENDCBJ/TOR20-21,Mikko Lehtonen,D,CBJ/TOR,20-21,Even Strength,MIKKO LEHTONEN,26,20202021,375.9666667,28.56%,28.24%,26.24%
JOSH BROWNDOTT20-21,Josh Brown,D,OTT,20-21,Even Strength,JOSH BROWN,26,20202021,307.3666667,24.76%,28.22%,26.50%
BRANDON CARLODBOS20-21,Brandon Carlo,D,BOS,20-21,Even Strength,BRANDON CARLO,27,20202021,425.8,30.81%,28.09%,27.07%
KEVAN MILLERDBOS20-21,Kevan Miller,D,BOS,20-21,Even Strength,KEVAN MILLER,28,20202021,457.55,32.19%,28.03%,26.86%
KURTIS MACDERMIDDL.A20-21,Kurtis Macdermid,D,L.A,20-21,Even Strength,KURTIS MACDERMID,28,20202021,329.55,24.22%,27.94%,26.59%
VICTOR METEDMTL/OTT20-21,Victor Mete,D,MTL/OTT,20-21,Even Strength,VICTOR METE,28,20202021,404.05,28.86%,28.17%,26.71%
ERIK GUSTAFSSONDPHI/MTL20-21,Erik Gustafsson,D,PHI/MTL,20-21,Even Strength,ERIK GUSTAFSSON,29,20202021,407,27.92%,27.69%,26.31%
DYLAN COGHLANDVGK20-21,Dylan Coghlan,D,VGK,20-21,Even Strength,DYLAN COGHLAN,29,20202021,372.1333333,25.47%,27.83%,26.92%
