"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"610","Noel Acciari","FLA","C","19","235.31666666667","12.385087719298","-9.49","21.28","-14.00","-6.46","14.25","-12.25","-5.51","12.12","-13.16","-2.37","-0.88","-11.84","-0.21","0.43","-6.75","-1.47","7.23","-9.55","0.09","1.37","-3.77","-0.55","-0.31","-2.34","-2.09","7.81","-13.38","-0.99","-0.77","-4.55","-12.42","19.91","-20.69","-1.2","0.01","-76.92","4.92","96.13","1.010","5.35","10.2","20.4","40.29","20.79","12.24","12.75","38.76","24.00"
"411","Hudson Fasching","ARI","R","2","17.866666666667","8.9333333333333","-26.07","20.97","-20.19","-16.02","18.24","-18.22","-10","-1.27","-7.84","-2.68","1.36","-33.33","-0.96","-0.23","-9.76","-12.7","14.17","-23.46","-1.99","-1.31","-2.14","-1.34","0.68","-33.33","-14.29","20.64","-38.84","-1.79","2.69","-50.00","-18.35","12.71","-20.35","0","-1.94","0.00","0.00","80.00","0.800","0","23.51","3.36","60.45","0.00","0","30.22","3.36","0.00"
"324","Matt Tennyson","N.J","D","8","92.95","11.61875","-4.82","20.51","-11.90","-4.2","15.66","-11.97","-2.21","11.18","-11.07","2.27","1.36","3.79","-0.16","0.81","-8.81","1.14","7.05","-5.31","-3","5.58","-19.04","2.11","0.44","19.64","5.52","1.96","3.74","0.11","1.72","-66.67","-7.23","16.55","-17.81","0.12","-0.27","25.00","18.42","91.23","1.096","6.46","14.2","9.68","57.45","40.00","12.26","20.66","19.37","38.78"
"920","Jackson Cates","PHI","C","1","9.0333333333333","9.0333333333333","-23.55","20.14","-19.04","0.21","15.61","-8.56","7.33","4.44","1.48","-3.75","4.14","-60.00","1.35","0.5","8.75","-7.98","-1.34","-10.00","10.78","3.28","30.00","0","4.14","0.00","-25.02","-6.15","-62.50","-5","0","-100.00","-26.67","36.44","-31.56","0","0","-","0.00","80.00","0.800","6.64","0","13.28","79.7","33.33","13.28","0","39.85","25.00"
"877","Ville Heinola","WPG","D","2","33.383333333333","16.691666666667","-12.47","19.93","-13.83","-3.3","15.26","-11.11","-5.34","11.7","-14.58","-2.49","2.9","-50.00","-1.28","-0.16","-11.74","-24.01","2.28","-27.24","-7.08","4.53","-26.72","-1.66","4.56","-66.67","-22.57","-3","-25.85","-1.11","-2.22","-33.33","6.08","25.3","-14.29","0","0","-","0.00","84.21","0.842","7.19","12.58","10.78","44.93","40.00","14.38","16.18","16.18","47.06"
"406","Luke Johnson","MIN","C","5","42.733333333333","8.5466666666667","-7.12","19.86","-11.41","-4.72","14.28","-10.41","0.81","16.68","-10.66","-0.01","2.26","-18.42","-1.24","1.59","-30.44","-5.45","3.84","-10.58","-5.42","9.17","-40.82","-1.62","2.16","-71.43","-0.04","-7.1","9.61","0.28","0.14","0.00","-2.87","19.57","-11.15","2.03","0","100.00","15.00","90.63","1.056","5.62","9.83","15.44","51.95","26.67","9.83","21.06","25.27","28.00"
"385","Kurtis MacDermid","COL, L.A","D","14","162.55","11.610714285714","-5.85","19.09","-10.54","-4.18","12.64","-9.24","-1.28","9.53","-8.29","-0.76","2.3","-21.53","-0.71","0.78","-13.31","-3.47","13.33","-12.76","-3.25","4.6","-16.18","-0.38","1.46","-22.73","-0.3","11.64","-10.76","-0.07","1.33","-16.67","-3.55","10.81","-10.52","-0.31","0.23","-50.00","5.41","86.41","0.918","6.27","16.98","6.27","48.35","50.00","13.66","23.25","12.55","52.11"
"737","Kole Lind","VAN","R","2","25.983333333333","12.991666666667","14.23","17","0.22","6.74","7.11","0.74","1.76","8.13","-4.33","-2.96","3.97","-50.00","-0.15","1.39","-13.02","4.06","12.84","-4.53","2.68","5.73","-6.72","-1.48","4.62","-100.00","1.85","9.48","-4.22","-1.97","0.12","-40.00","12.28","-0.8","9.72","0","0","-","0.00","81.25","0.813","9.24","16.16","6.93","32.33","57.14","13.86","18.47","18.47","42.86"
"683","Noah Gregor","S.J","C","13","150.51666666667","11.578205128205","-12.16","16.54","-12.59","-8.11","12.97","-11.93","-5.69","6.7","-9.54","-2.21","-1.18","-16.65","-1.16","0.57","-16.21","-12.46","8.76","-18.72","-7.05","5.5","-25.65","-1.2","-0.99","-10.26","-7.22","4.35","-13.53","-0.78","-0.53","-22.73","1.36","13.21","-6.77","-0.44","0.47","-26.67","4.48","89.58","0.941","10.36","15.95","7.57","47.44","57.78","17.94","21.53","19.53","47.87"
"917","Yegor Chinakhov","CBJ","R","2","16.966666666667","8.4833333333333","-6.45","16.35","-9.54","-2.08","18.35","-10.24","1.88","23.89","-13.17","-1.58","5.5","-50.00","-0.45","4.4","-30.90","-10.31","21.93","-23.33","-0.42","24.73","-35.87","-0.79","2.75","-50.00","-13.18","-3.74","-12.50","-1.05","3.66","-50.00","7.3","-9.16","14.62","0","0","-","0.00","86.67","0.867","3.54","14.15","7.07","63.65","33.33","14.15","14.15","10.61","57.14"
