"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"279","Blake Coleman","CGY, T.B","C","29","361.23333333333","12.45632183908","2.52","-6.59","4.26","4.19","-4.56","5.27","5.52","-2.52","6.45","1.27","-0.28","13.38","0.49","-0.58","10.59","0.15","-4.16","4.35","2.3","-1.8","9.30","0.91","-0.7","26.76","-2.87","-3.14","0.53","-0.24","0.71","-18.88","0.36","-3.77","3.07","0.87","-0.09","35.06","10.43","91.52","1.019","10.13","18.44","8.64","41.69","53.98","16.44","21.76","15.78","51.03"
"818","Quinn Hughes","VAN","D","33","629.25","19.068181818182","1.4","-6.61","3.50","-2.41","-2.71","-0.08","-2.09","-1.8","-0.43","-0.51","0.38","-8.02","-0.22","0.27","-4.84","0.35","-2.35","2.22","-1.25","2.49","-8.23","-0.29","0.95","-17.97","2.14","-6.46","9.20","-0.31","-1.1","21.73","3.21","-8.03","8.24","0.11","0.05","1.71","7.93","89.12","0.971","10.58","10.49","4.86","42.24","68.52","21.45","16.88","12.97","62.33"
"13","Dustin Brown","L.A","R","28","391.38333333333","13.977976190476","5.02","-6.62","5.43","3.18","-3.5","4.11","2.91","-3.09","5.08","0.83","0.5","3.66","0.41","0.13","2.89","1.29","-1.59","2.72","1.48","-0.19","3.90","-0.04","0.81","-12.50","-0.25","-1.86","1.73","0.38","0.46","1.67","3.44","-5.84","7.11","-0.04","-0.79","75.00","9.85","88.46","0.983","10.42","15.79","9.04","43.54","53.54","19.32","21.92","17.17","52.94"
"555","Travis Dermott","TOR","D","26","335.86666666667","12.917948717949","2.99","-6.65","4.55","0.87","-3.01","2.45","2.36","-1.44","3.19","-1.42","-1.53","7.29","-0.18","-0.45","3.25","1.31","-5.84","6.78","1.88","-1.02","5.98","-0.87","-1.16","13.33","-0.76","-6.43","7.05","-0.65","-0.17","-16.00","-0.34","-0.3","-0.05","-0.1","-0.35","36.36","5.59","96.08","1.017","8.57","9.29","5","62.17","63.16","16.97","13.04","12.5","57.58"
"361","Adam Pelech","NYI","D","33","601.86666666667","18.238383838384","4.88","-6.68","5.48","3.92","-5.56","6.04","3.68","-4.45","7.16","0.93","-0.54","17.24","0.4","-0.55","11.04","5.83","-4.44","10.73","1.94","-1.48","9.89","0.43","-0.55","22.38","5.18","-3.95","11.20","-0.09","-0.35","10.00","0.46","-5.16","3.83","0.82","0.48","-2.38","8.58","92.78","1.014","5.18","12.36","9.67","46.95","34.90","15.45","19.34","19.64","44.03"
"234","Brett Connolly","CHI, FLA","R","14","157.8","11.271428571429","-1.63","-6.69","2.39","-1","-2.94","1.12","0.24","-0.33","0.48","-0.8","-1.73","14.88","-0.43","0.1","-6.03","-3.59","-3.64","-0.39","-2.52","2.1","-12.43","-1.22","-1.7","51.61","-1.43","-7.65","7.25","0.47","-0.49","18.89","4.57","-2.64","5.06","0.24","0.48","0.00","7.59","96.25","1.038","5.7","14.45","9.51","49.81","37.50","12.55","19.77","21.29","37.08"
"469","Ryan Carpenter","CHI","C","23","213.86666666667","9.2985507246377","3.48","-6.69","4.94","1.72","-6.64","5.25","0.13","-5.24","4.55","-1.3","-0.7","-14.85","0.22","-0.61","8.79","0.39","-5.08","4.91","1.16","-1.75","7.51","0.39","-0.55","18.58","-1.03","-4.44","3.55","-1.47","0.37","-56.67","5.25","-2.24","5.85","-0.56","-0.35","-42.86","2.97","89.58","0.926","8.14","15.71","10.1","44.33","44.62","15.15","19.92","21.88","40.91"
"224","Cam Fowler","ANA","D","32","579.76666666667","18.117708333333","0.67","-6.7","3.52","-1.24","-4.99","2.27","-2.1","-3","0.54","0.63","-0.38","9.45","-0.22","0","-2.68","1.16","-3.8","4.91","-0.26","1.29","-3.65","0.19","-0.2","6.97","1.89","-6.79","10.98","0.2","-0.4","16.26","0.91","-4.98","4.49","0.5","-0.19","28.21","12.08","91.08","1.032","9.52","12.21","10.04","43.98","48.68","19.66","17.8","17.7","52.63"
"740","Kole Lind","SEA, VAN","R","6","68.283333333333","11.380555555556","-11.46","-6.73","-3.73","-10.77","-4.4","-6.08","-8.58","-1.3","-8.88","-3.06","-2.98","-35.29","-0.9","0.47","-14.71","-5.18","-6.71","-0.41","-3.81","2.8","-15.33","-1.02","-2.18","-25.00","-1.83","-12.68","12.56","-2.04","-1.21","-46.15","-7.19","-2.68","-4.86","-0.74","0.16","-40.00","0.00","91.67","0.917","7.03","11.42","11.42","50.09","38.10","9.67","14.94","18.45","34.38"
"915","Artem Zub","OTT","D","24","378.78333333333","15.782638888889","-9.72","-6.74","-1.93","-5.46","-4.43","-1.11","-4.87","-3.47","-2.07","0.43","0.58","0.09","-0.46","-0.28","-2.91","-3.16","0.99","-3.94","-2.28","1.13","-8.24","0.65","0.26","5.97","-1.16","-0.18","-1.20","0.16","0.4","0.95","-9.86","-10.78","-0.24","-0.28","0.03","-13.64","12.50","86.77","0.993","4.59","10.61","8.87","53.22","34.12","12.04","15.52","17.42","40.86"
