"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"464","Josh Brown","FLA, OTT","D","85","87.133333333333","1.0250980392157","2.2","-12.35","2.95","-0.18","-10.5","1.56","2.64","-8.71","5.43","0.67","-4","14.81","0.19","-0.8","3.29","-1.42","1.42","-2.22","-0.3","-2.12","0.52","0.85","-0.93","25.00","-1.5","4.72","-3.67","-0.24","-2.87","-4.76","3.62","-18.05","6.49","0","-1.07","0.00","9.52","90.79","1.003","0.69","2.75","27.54","54.4","2.44","2.07","6.89","35.81","5.45"
"189","Kyle Clifford","L.A, STL, TOR","L","119","31.533333333333","0.26498599439776","-7.18","-12.5","-4.50","-4.96","-18.98","-1.77","-3.94","-25.58","2.90","0.85","-1.14","9.29","-0.27","-0.33","-2.71","-1.88","-12.33","-0.17","1.74","-1.86","7.11","1.2","1.51","10.71","-4.82","-13.96","-10.33","-0.16","-4.51","-3.33","-0.07","-3.21","0.27","-0.17","1.06","-9.09","25.00","75.00","1.000","0","7.61","5.71","110.36","0.00","1.9","11.42","7.61","20.00"
"707","Philippe Myers","NSH, PHI","D","96","87.483333333333","0.91128472222222","10.02","-12.67","10.60","5.61","-9.47","8.40","5.64","-6.84","10.14","-1.23","1.36","-14.04","0.09","-1.45","4.64","-0.54","-10.16","2.49","0.66","-0.2","2.80","-0.77","1.63","-16.67","-1.59","-13.29","2.63","-0.21","-0.13","-6.67","4.24","-7.11","7.77","0","-0.24","0.00","0.00","77.19","0.772","0.69","5.49","30.86","52.12","2.17","3.43","6.17","39.78","7.94"
"803","Jake Leschyshyn","VGK","C","1","0.33333333333333","0.33333333333333","0","-12.86","0.00","0","-128.57","-","0","-128.57","-","0","-128.57","-","0","-5.87","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","-278.57","-","0","-185.71","0.00","-","-","-","0","0","180","0","0.00","0","0","180","0.00"
"813","Jonas Rondbjerg","VGK","R","1","0.33333333333333","0.33333333333333","0","-12.86","0.00","0","-128.57","-","0","-128.57","-","0","-128.57","-","0","-5.87","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","-278.57","-","0","-185.71","0.00","-","-","-","0","0","180","0","0.00","0","0","180","0.00"
"264","Jaden Schwartz","SEA, STL","C, L","114","45.333333333333","0.39766081871345","4.53","-12.91","5.23","5.82","-2.17","5.77","2.4","-8.83","5.59","-1.06","-4.01","-11.69","-0.12","-0.14","-1.12","5.04","-7.43","10.12","0.89","-9.78","9.56","-0.47","-1.61","-13.79","5.54","3.13","10.08","-0.16","-2.15","-3.85","4.47","-10.44","7.09","-0.34","-1.14","-10.00","0.00","91.67","0.917","9.26","6.62","10.59","120.44","46.67","10.59","9.26","13.24","44.44"
"867","Austin Strand","L.A","D","13","4.5333333333333","0.34871794871795","31.78","-12.99","21.02","31.78","4.48","21.75","32.77","-12.44","33.27","12.24","-8.92","90.00","6.97","-3","50.85","21.52","-16.4","26.67","23.5","-11.53","55.95","12.24","-4.95","83.33","-2.64","-6.5","-4.26","0","-2.64","0.00","-1.43","4.92","-1.96","0","-2.86","0.00","33.33","100.00","1.333","0","13.24","0","79.41","-","0","13.24","13.24","0.00"
"649","Anthony Beauvillier","NYI","L","117","62.3","0.53247863247863","6.56","-13.01","6.57","5.61","-11.39","8.03","6.85","-8.43","12.04","0","-0.71","1.32","0.44","-1.4","8.19","7","-12.16","12.80","3.29","-9.15","21.16","0.27","-0.15","6.48","4.94","-4.01","9.53","-0.18","-0.74","-8.33","-2.2","-2.8","-3.03","-0.2","-0.01","-6.67","6.25","86.67","0.929","3.85","1.93","8.67","97.27","30.77","6.74","1.93","11.56","36.84"
"804","Michael Rasmussen","DET","C","42","32.25","0.76785714285714","5.33","-13.02","5.87","5.26","-10.16","7.04","5.2","0.27","6.07","0","-2.31","0.00","0.06","-1.02","1.87","-2.02","-8.45","-2.06","0.07","-1.78","0.87","0","-4.66","-","-2.78","-8.89","-4.20","0","5.05","0.00","1.75","-6.69","3.11","0","-2.07","0.00","0.00","90.32","0.903","0","9.3","27.91","65.12","0.00","0","13.02","31.63","0.00"
"949","Drew O'Connor","PIT","L","12","4.05","0.3375","5.12","-13.14","6.67","5.12","-12.21","8.06","-7.27","-26.09","-11.54","-1.21","-10.9","-","-0.76","-0.64","-10.00","-4.85","7.17","-8.51","-2.42","5.4","-9.09","0","-7.27","-","-3.23","2.36","-8.00","-1.62","-4.85","-25.00","-3.5","-27.59","-6.67","0","0","-","-","100.00","1.00","0","14.81","14.81","59.26","0.00","0","14.81","14.81","0.00"
