"","Player","Team","GP","TOI","TOI/GP","Shots Against/60","Saves/60","SV%","GAA","GSAA/60","xG Against/60","HD Shots Against/60","HD Saves/60","HDSV%","HDGAA","HDGSAA/60","MD Shots Against/60","MD Saves/60","MDSV%","MDGAA","MDGSAA/60","LD Shots Against/60","LD Saves/60","LDSV%","LDGAA","LDGSAA/60","Rush Attempts Against/60","Rebound Attempts Against/60","Avg. Shot Distance","Avg. Goal Distance"
"98","Ukko-Pekka Luukkonen","BUF","4","15.416666666667","3.8541666666667","81.73","73.95","0.905","7.78","3.22","11.87","27.24","27.24","1.000","0.00","6.15","23.35","23.35","1.000","0.00","3.33","31.14","23.35","0.750","7.78","-5.62","0","3.89","27.76","27.50"
"9","Jaroslav Halak","BOS","50","234.4","4.688","45.56","41.21","0.904","4.35","1.78","5.59","12.29","10.24","0.833","2.05","0.72","12.54","11.26","0.898","1.28","0.51","20.22","19.2","0.949","1.02","0.38","0.26","4.86","33.38","23.53"
"103","Jeremy Swayman","BOS","10","52.15","5.215","34.52","31.06","0.900","3.45","1.20","3.51","6.9","5.75","0.833","1.15","0.41","8.05","6.9","0.857","1.15","0.00","18.41","17.26","0.938","1.15","0.13","1.15","2.3","36.97","31.67"
"92","Filip Gustavsson","OTT","9","44.233333333333","4.9148148148148","39.34","35.27","0.897","4.07","1.23","4.89","2.71","2.71","1.000","0.00","0.61","13.56","10.85","0.800","2.71","-0.78","23.06","21.7","0.941","1.36","0.25","0","1.36","37.03","33.00"
"66","Cal Petersen","L.A","43","193.48333333333","4.4996124031008","65.12","58.3","0.895","6.82","1.95","7.86","15.2","13.02","0.857","2.17","1.26","17.37","15.51","0.893","1.86","0.62","32.56","29.77","0.914","2.79","-0.52","0.93","9.3","32.57","30.14"
"72","Alex Nedeljkovic","CAR","27","145.46666666667","5.3876543209877","39.18","35.06","0.895","4.12","1.15","4.83","9.9","8.25","0.833","1.65","0.58","12.37","10.72","0.867","1.65","0.12","15.67","14.85","0.947","0.82","0.27","0.41","4.54","34.53","22.00"
"76","Ilya Sorokin","NYI","22","77.083333333333","3.5037878787879","44.37","39.7","0.895","4.67","1.30","6.05","11.68","7.78","0.667","3.89","-1.26","10.12","9.34","0.923","0.78","0.67","22.57","22.57","1.000","0.00","1.57","0","7.78","32.77","21.33"
"25","Jake Allen","MTL, STL","53","246.11666666667","4.6437106918239","50.71","45.34","0.894","5.36","1.46","6.05","14.14","12.19","0.862","1.95","1.24","15.11","13.16","0.871","1.95","0.21","21.45","19.99","0.932","1.46","0.03","0.24","4.39","30.86","25.27"
"30","Mikko Koskinen","EDM","64","286.58333333333","4.4778645833333","58.41","52.13","0.892","6.28","1.58","7.26","16.54","13.4","0.810","3.14","0.59","16.12","14.03","0.870","2.09","0.21","25.12","24.08","0.958","1.05","0.70","0.63","7.75","32.05","19.00"
"31","Anders Nilsson","OTT","20","105.03333333333","5.2516666666667","56.55","50.27","0.889","6.28","1.33","7.2","20.56","17.14","0.833","3.43","1.21","12.57","10.85","0.864","1.71","0.08","22.85","21.71","0.950","1.14","0.45","0","6.85","32.15","23.09"
