"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"127","Travis Hamonic","VAN","D","17","0.016666666666667","0.00098039215686275","-106.75","-14.03","-","-77.14","-11.69","-","-55.32","-10.13","-","-9.35","-0.78","-","-7.56","-1.12","-","-67.79","-10.13","-","-28.83","-3.9","-","-5.45","-0.78","-","-51.95","-8.31","-","-1.04","0","-100.00","-56.28","-4.5","-","-4.5","0","-100.00","-","-","-","0","0","0","3600","-","0","0","0","-"
"760","Ilya Lyubushkin","ARI","D","23","0.2","0.008695652173913","-81.3","-14.03","-","-59.52","-14.03","-","-41.62","-11.61","-","-5.81","-1.45","-","-4.8","-0.77","-","-39.68","-5.81","-","-16.94","-3.87","-","-0.97","-0.97","-","-30.33","-2.58","-","-3.23","-0.65","-83.33","-56.62","-3.5","-","-3.5","0","-100.00","-","-","-","0","0","0","0","-","0","0","0","-"
"136","Greg Pateryn","ANA, COL, S.J","D","9","0.21666666666667","0.024074074074074","156.92","-14.04","10.48","190.11","-12.77","12.82","214.37","-11.49","15.52","-7.66","0","-","14.42","-1","12.33","-54.89","-5.11","-","-17.87","-5.11","-","-3.83","0","-","-49.36","0","-","-1.7","0","-100.00","309.65","-5.53","5.77","-3.69","0","-100.00","0.00","-","0.00","0","0","0","553.85","-","0","0","0","-"
"519","Keegan Kolesar","VGK","R","26","1.2833333333333","0.049358974358974","-28.8","-14.04","10.30","-1.62","-12.23","11.39","-19.38","-11.33","14.62","-6.34","-0.91","-","-3.05","-0.61","6.76","-12.14","-5.89","9.09","-24.46","-3.17","-","-3.17","0","-","16.43","-3.62","7.32","-1.21","0","-100.00","-18.84","-6.54","7.04","-3.27","-1.31","-71.43","0.00","-","0.00","46.75","0","0","93.51","100.00","93.51","0","0","100.00"
"93","Brandon Sutter","VAN","C","22","2.8","0.12727272727273","-20.05","-14.07","11.74","-14.38","-13.02","14.20","13.23","-11.98","19.01","-8.34","-1.56","-","4.76","-1.1","13.09","20.59","-7.81","10.71","-3.06","-4.17","14.55","-4.69","-1.04","-","31.53","-4.86","8.24","-2.78","-0.69","-80.00","-57.19","-3.01","-","-2.26","0","-100.00","0.00","-","0.00","42.86","0","21.43","107.14","66.67","42.86","0","21.43","66.67"
"716","Marian Studenic","N.J","R","5","0.15","0.03","-76","-14.07","-","-67.55","-11.26","-","-53.48","-8.44","-","-5.63","0","-","-5.48","-1.2","-","-42.22","-14.07","-","-11.26","-2.81","-","-2.81","0","-","-41.28","-15.01","-","-3.75","0","-100.00","-48.79","0","-","0","0","-","-","-","-","0","0","0","400","-","0","0","0","-"
"426","Joel Hanley","DAL","D","19","0.16666666666667","0.0087719298245614","-89.39","-14.22","-","-70.43","-12.19","-","-48.76","-10.16","-","-6.77","-0.68","-","-6.23","-0.33","-","-46.73","-4.06","-","-18.28","0","-","-4.74","0","-","-37.92","-5.42","-","-1.81","-0.9","-66.67","-60.65","-4.89","-","-0.98","0","-100.00","-","-","-","0","0","0","720","-","0","0","0","-"
"360","Liam O'Brien","ARI, COL","C","4","0.083333333333333","0.020833333333333","-97.07","-14.27","-","-79.94","-11.42","-","-54.24","-8.56","-","-8.56","0","-","-12.33","-0.49","-","-65.66","-8.56","-","-37.11","-2.85","-","-5.71","0","-","-38.07","-7.61","-","-3.81","0","-100.00","-45.36","-4.12","-","0","0","-","-","-","-","0","0","0","720","-","0","0","0","-"
"663","Nicolas Hague","VGK","D","28","9.2666666666667","0.33095238095238","-39.37","-14.3","10.38","-46.6","-12.57","11.33","-25.33","-11.27","13.76","-8.24","-0.87","-","-5.84","-0.68","6.82","-18.83","-6.5","9.20","-15.23","-3.47","10.96","-4.77","0","-","-4.81","-4.05","7.78","-1.16","0","-100.00","-25.28","-5.64","6.47","-3.76","-1.25","-75.00","0.00","-","0.00","19.42","6.47","0","51.8","100.00","38.85","19.42","0","100.00"
"573","Steven Lorentz","CAR","C","25","1.75","0.07","-111.63","-14.43","-","-79.87","-12.03","-","-51.96","-9.62","-","-10.1","-0.96","-","-8.75","-0.84","-","-62.07","-8.18","-","-27.91","-3.85","-","-4.33","-0.96","-","-45.55","-5.77","-","-4.49","0","-100.00","-70.89","-5.56","-","-3.48","0","-100.00","-","-","-","137.14","0","34.29","102.86","80.00","137.14","0","34.29","80.00"
