"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"317","Tom Wilson","WSH","R","27","45.2","1.6740740740741","1.18","8.21","-0.29","2.94","16.3","-0.56","3.91","14.92","0.14","2.04","2.31","16.07","0.35","1.18","2.57","-1.49","-3.99","-1.67","1.51","-1.55","5.70","2.04","0.18","30.00","-4","-3.25","-10.41","0","1.89","0.00","2.44","18.25","-0.04","0","1.02","0.00","22.22","85.71","1.079","0","2.65","29.2","69.03","0.00","0","5.31","29.2","0.00"
"23","Brad Richardson","NSH","R","10","17.683333333333","1.7683333333333","-7.28","8.04","-6.79","-2.59","10.07","-4.12","-5.98","20.74","-10.47","-4.69","11.23","-66.67","-0.12","1.81","-3.69","2.1","-1.72","3.80","-4.69","-7.52","-18.18","-4.69","4.44","-66.67","9.05","7.74","16.67","0","4.52","0.00","-10.16","4.29","-13.64","0","4.9","0.00","0.00","81.82","0.818","0","13.57","47.5","37.32","0.00","0","13.57","54.29","0.00"
"597","Victor Mete","MTL, OTT","D","17","17.883333333333","1.0519607843137","1.89","7.99","0.53","2.77","-2.8","2.75","5.39","-5.42","6.70","1.6","-7.15","35.71","1.05","-1.23","13.32","5.39","9.32","3.54","3.94","-13.57","29.41","1.6","-2.63","60.00","1.94","30.52","-2.81","0","-3.5","0.00","-1.26","0.61","-1.72","0","-2.74","0.00","20.00","94.74","1.147","0","0","20.13","57.04","0.00","6.71","6.71","36.91","15.38"
"79","Ian Cole","CAR, COL, MIN","D","31","45.25","1.4596774193548","11.66","7.98","8.34","12.67","12.27","10.26","8.87","13.46","7.94","0","-2.56","0.00","0.73","0.81","9.44","0.46","-2.23","1.59","0.82","-1.32","5.76","0","-0.69","0.00","-0.49","-1.21","-0.89","0","-1.83","0.00","11.69","9.8","11.51","0","-0.73","0.00","0.00","92.86","0.929","0","3.98","34.48","37.13","0.00","0","7.96","51.71","0.00"
"403","Brett Pesce","CAR","D","29","86.933333333333","2.9977011494253","0.59","7.88","-1.58","-0.52","-2.18","0.35","1.09","0.19","1.46","1.11","1.54","4.17","0.8","-1.14","13.68","2","0.95","3.51","2.11","-6.2","16.72","-0.96","2.07","-100.00","-0.15","9.52","-7.10","0.92","-0.71","33.33","-1.93","8.57","-4.89","1","0","100.00","14.29","90.57","1.049","0","8.97","40.03","11.04","0.00","4.83","14.49","71.09","6.36"
"539","Anthony Cirelli","T.B","C","28","51.783333333333","1.8494047619048","-7.43","7.81","-7.88","-5.16","6.94","-7.75","0.14","4.35","-0.87","1.16","-0.62","14.29","-1.32","0.18","-18.71","-8.28","-3.67","-13.18","-0.71","-4.31","0.67","1.16","-0.31","25.00","-10.09","0.86","-19.23","0","-1.01","0.00","-2.12","18.18","-5.98","0","-1.03","0.00","16.67","85.37","1.020","2.32","2.32","37.08","46.35","5.88","3.48","4.63","49.82","6.52"
"25","Joe Pavelski","DAL","C","29","23.35","0.8051724137931","-3.29","7.74","-3.41","-4.07","10.62","-5.78","-2.27","13.82","-6.89","2.12","-0.36","19.74","-0.17","0.43","-2.78","-4.16","6.56","-8.28","1.22","-5.98","10.00","2.57","-1.91","50.00","-7.17","16.72","-17.14","-0.6","-0.76","-12.50","-0.17","3.82","-0.50","0","3.06","0.00","25.00","86.96","1.120","2.57","5.14","89.94","59.1","2.78","2.57","7.71","105.35","2.38"
"188","Christopher Tanev","CGY","D","29","74.55","2.5706896551724","6.89","7.64","4.42","3.99","10.77","1.97","3.36","8.4","2.49","0.8","5.94","7.14","0.78","1.06","7.96","3.2","9.36","2.84","0.63","10.11","-6.28","0.8","3.7","14.29","3.43","-0.99","6.12","0","-0.23","0.00","1.61","-2.49","2.71","0","3.49","0.00","7.14","80.88","0.880","0","4.83","41.05","19.32","0.00","2.41","10.46","72.43","3.23"
"240","Josh Manson","ANA","D","10","26.233333333333","2.6233333333333","-8.41","7.56","-7.54","-8.41","17.36","-11.28","-3.14","22.26","-8.33","-1.76","3.35","-33.33","-0.61","2.91","-9.41","-7.02","9.07","-11.76","-3.51","22.01","-22.22","-1.76","5.11","-50.00","-4.68","-17.26","-8.00","0","0","-","0","-2.95","0.00","0","-2.54","0.00","0.00","90.63","0.906","0","4.57","41.17","32.02","0.00","0","9.15","61.75","0.00"
"487","Frank Vatrano","FLA","C","31","5.7666666666667","0.18602150537634","4.92","7.48","2.54","6.96","5.41","4.89","-1","1.71","-1.53","-1.22","2.66","-13.64","1.71","-0.18","17.14","12.66","-13.2","24.50","16.73","-17.52","81.13","-1.22","-3.67","-","-5.43","5.76","-13.16","0","11.7","0.00","-5.89","18.96","-7.63","0","-2.35","0.00","0.00","83.33","0.833","0","10.4","10.4","83.24","0.00","0","10.4","10.4","0.00"
"696","Parker Kelly","OTT","C, L","4","6.5833333333333","1.6458333333333","-23.35","7.48","-16.28","-23.35","3.5","-19.44","-23.35","-6.27","-25.00","-3.34","-0.9","-25.00","-2.19","3.02","-22.74","-16.68","-2.93","-20.00","-6.67","-2.69","-18.18","-3.34","-3.34","-","-13.35","-0.33","-21.43","0","-4.45","0.00","0","15.04","0.00","0","8.35","0.00","-","85.71","0.86","9.11","0","9.11","109.37","50.00","9.11","0","9.11","50.00"
"227","Marcus Sorensen","S.J","L","12","17.816666666667","1.4847222222222","-10.1","7.37","-8.05","-7.06","8.5","-7.54","-7.38","10.58","-12.00","-1.28","9.62","-25.00","-0.36","3.68","-8.50","1.12","28.38","-5.00","-7.7","19.08","-30.00","-1.28","4.17","-33.33","11.76","12.4","18.08","0","4.49","0.00","-9.96","-31.51","-6.28","0","3.01","0.00","0.00","77.78","0.778","0","10.1","26.94","74.09","0.00","0","16.84","33.68","0.00"
"492","Pavel Zacha","N.J","C","29","40.533333333333","1.3977011494253","-5.66","7.34","-6.41","-5.86","11.78","-8.36","-1.35","11.65","-4.34","0","2","0.00","-0.19","0.92","-2.90","-2.19","-0.7","-3.70","-1.29","1.8","-5.56","0","3.73","0.00","-1.2","-3.34","-1.72","0","-3.43","0.00","-2.23","11.34","-6.31","0","1.21","0.00","0.00","81.08","0.811","0","5.92","44.41","44.41","0.00","1.48","11.84","60.69","2.38"
"645","Michael Rasmussen","DET","C","24","22.333333333333","0.93055555555556","-6.62","7.29","-5.95","-5.45","4.25","-5.94","-3.1","8.1","-5.41","0","-2.26","0.00","0.44","0.57","4.20","0.67","0.29","1.01","2.44","4.55","5.04","0","-5.29","-","-2.35","-5.68","-5.36","0","5.6","0.00","-5.94","10.96","-8.64","0","-1.7","0.00","0.00","91.67","0.917","0","8.06","32.24","59.1","0.00","0","8.06","34.93","0.00"
"549","Alexandre Carrier","NSH","D","12","16.483333333333","1.3736111111111","-3.64","7.28","-4.06","-3.64","7.28","-4.83","-1.82","7.28","-3.92","0","-3.64","0.00","-0.71","0.96","-10.97","-3.64","1.82","-8.30","-5.46","-7.28","-23.08","0","-3.64","0.00","2.43","12.13","2.50","0","0","-","0","13.14","-2.03","0","2.63","0.00","0.00","88.24","0.882","0","7.28","43.68","29.12","0.00","3.64","7.28","65.52","5.26"
"10","Ryan Suter","DAL, MIN","D","29","61.366666666667","2.116091954023","-4.55","7.24","-4.62","-5.91","7.33","-7.98","-3.9","5.47","-7.28","0","-0.7","0.00","-0.32","0.96","-6.67","-1.46","15.29","-6.82","0.76","5.44","1.19","0","-1.41","0.00","-2.96","13.13","-11.97","0","1.74","0.00","-1.25","-7.79","-0.67","0","-0.86","0.00","0.00","88.46","0.885","1.96","4.89","31.29","36.18","5.88","2.93","6.84","55.73","5.00"
"566","Adam Brooks","MTL, TOR","C","6","2.45","0.40833333333333","-8.02","7.09","-8.11","-8.02","23.13","-9.68","-5.35","44.51","-9.09","0","-13.36","-","-0.15","-2.19","-2.14","0","3.55","0.00","0","-21.38","-","0","-2.67","-","0","33.23","0.00","0","0","-","-3.86","12.84","-6.25","0","-7.72","0.00","-","100.00","1.00","0","0","24.49","97.96","0.00","0","0","24.49","0.00"
"181","Nic Dowd","WSH","C","32","79.7","2.490625","3.28","6.85","1.83","3","4.62","2.33","-0.39","-1.09","-0.31","-0.57","-1.33","-4.17","0.15","1.09","0.67","2.82","2.58","4.39","-0.38","5.99","-3.42","-0.57","0.28","-15.00","4.26","-4.56","12.92","0","-3.27","0.00","2.98","8.76","2.60","0","1.22","0.00","10.00","86.54","0.965","0","9.79","35.38","34.63","0.00","0.75","12.8","47.43","1.56"
"413","Valeri Nichushkin","COL","R","28","36.15","1.2910714285714","-0.04","6.44","-0.95","0.59","14.54","-2.60","-3.82","17.22","-9.00","1.66","0.4","25.00","0.26","1.39","1.17","3.15","2.04","5.13","0.98","2.3","1.20","1.66","2.18","33.33","2.9","-0.35","7.42","0","-2.29","0.00","3.89","7.18","3.85","0","-0.08","0.00","14.29","92.50","1.068","3.32","6.64","34.85","58.09","8.70","3.32","9.96","41.49","7.41"
"78","Nick Bonino","MIN, S.J","C","29","62.4","2.151724137931","-6.73","6.41","-6.50","-5.45","-4.49","-5.36","-1.6","-7.37","-0.08","-0.64","-2.24","-8.33","-0.4","-0.52","-5.65","-4.49","-2.88","-9.52","-0.32","-2.56","-0.64","0","0","0.00","-5.56","-0.43","-14.44","-0.85","-4.27","-11.11","-3.24","13.43","-5.13","0","1.39","0.00","0.00","88.37","0.884","0.96","2.88","65.38","16.35","1.45","1.92","4.81","85.58","2.20"
"80","Justin Braun","PHI","D","30","79.716666666667","2.6572222222222","1.82","6.29","0.45","2.44","-1.02","2.59","3.72","3.5","3.58","-0.71","3.45","-9.09","-0.11","-1.39","1.20","-1.02","-0.22","-1.63","-1.28","-9.92","1.90","-0.71","-0.49","-14.29","0.35","12.93","-3.54","0","2.13","0.00","1.28","8.19","1.12","0","3.39","0.00","0.00","77.78","0.778","0.75","11.29","36.88","30.86","2.00","0.75","12.04","57.96","1.28"
"618","Nikita Zaitsev","OTT","D","31","82.133333333333","2.6494623655914","-3.59","6.09","-3.49","-3.49","0.28","-3.26","-0.89","-2.4","-0.39","0.63","0.02","7.50","0.27","-0.01","3.13","1.18","15.51","-1.89","3.25","4.14","7.14","0.63","-3.33","80.00","-2.76","15.16","-8.65","0","1.68","0.00","-6.15","-13.47","-7.75","0","3.02","0.00","11.76","89.04","1.008","0","5.11","37.99","20.45","0.00","1.46","8.77","59.9","2.38"
"216","Ryan Johansen","NSH","C","27","11.416666666667","0.42283950617284","14.31","6.06","10.51","15.35","-6.17","16.67","13.22","7.36","13.27","-1.56","3.75","-18.75","0.01","-1.3","4.29","-7.8","-3.84","-18.07","-4.68","-8.79","-25.00","-1.56","1.61","-30.00","-4.16","6.6","-12.77","0","-2.77","0.00","34.95","8.97","30.90","0","6.09","0.00","0.00","81.82","0.818","10.51","0","105.11","78.83","9.09","10.51","0","115.62","8.33"
"470","Devon Toews","COL","D","27","78.45","2.9055555555556","3.06","6.04","1.46","1.77","-1.18","1.96","0.48","-7.44","2.67","0.76","-4.73","25.00","0.38","-0.44","6.27","3.63","-1.62","7.18","2.34","0.24","9.26","0.76","-2.25","50.00","1.72","-2.48","4.76","0","-1.66","0.00","5.18","9.96","5.65","0","-1.79","0.00","5.26","95.65","1.009","0","2.29","39.77","20.65","0.00","2.29","7.65","69.6","3.19"
"734","Alexander Romanov","MTL","D","31","29.333333333333","0.94623655913978","-2.18","6","-2.47","-0.91","2.82","-1.39","-4.84","-6.11","-3.66","0.39","8.64","-6.54","0.47","0.61","4.13","1.79","-3.8","4.08","0.23","-0.36","1.11","-1.1","5.97","-33.33","2.08","-4.59","6.33","2.73","0.52","50.00","-0.7","17.35","-3.09","-0.8","4.08","-14.29","16.67","66.67","0.833","2.05","2.05","34.77","59.32","5.56","2.05","8.18","42.95","4.55"
