Player/Position/Team/Season,Player,Position,Team,Season ,Game Strength State,Player (Original),GP,Season,TOI,TOI%,TOI% QoC,TOI% QoT
ERIK BRANNSTROMDOTT20-21,Erik Brannstrom,D,OTT,20-21,Penalty Kill,ERIK BRANNSTROM,30,20202021,17.8,11.31%,46.74%,35.22%
NIKO MIKKOLADSTL20-21,Niko Mikkola,D,STL,20-21,Penalty Kill,NIKO MIKKOLA,30,20202021,57,40.95%,44.71%,34.71%
CONOR TIMMINSDCOL20-21,Conor Timmins,D,COL,20-21,Penalty Kill,CONOR TIMMINS,31,20202021,13.21666667,9.08%,38.21%,34.58%
COLTON PARAYKODSTL20-21,Colton Parayko,D,STL,20-21,Penalty Kill,COLTON PARAYKO,32,20202021,66.56666667,39.26%,46.06%,34.66%
JACOB MACDONALDDCOL20-21,Jacob Macdonald,D,COL,20-21,Penalty Kill,JACOB MACDONALD,33,20202021,27.91666667,15.91%,40.65%,35.74%
CALEB JONESDEDM20-21,Caleb Jones,D,EDM,20-21,Penalty Kill,CALEB JONES,33,20202021,18.9,12.96%,47.60%,36.52%
TOBIAS BJORNFOTDL.A20-21,Tobias Bjornfot,D,L.A,20-21,Penalty Kill,TOBIAS BJORNFOT,33,20202021,41.51666667,29.61%,44.29%,35.12%
BEN HARPURDNSH20-21,Ben Harpur,D,NSH,20-21,Penalty Kill,BEN HARPUR,34,20202021,51.1,33.46%,47.08%,38.07%
ROBERT HAGGDPHI20-21,Robert Hagg,D,PHI,20-21,Penalty Kill,ROBERT HAGG,34,20202021,57.71666667,33.42%,48.55%,33.83%
ZACH WERENSKIDCBJ20-21,Zach Werenski,D,CBJ,20-21,Penalty Kill,ZACH WERENSKI,35,20202021,64.6,46.00%,49.38%,40.63%
ADAM BOQVISTDCHI20-21,Adam Boqvist,D,CHI,20-21,Penalty Kill,ADAM BOQVIST,35,20202021,4.433333333,2.83%,34.26%,34.25%
JOEL HANLEYDDAL20-21,Joel Hanley,D,DAL,20-21,Penalty Kill,JOEL HANLEY,35,20202021,14.78333333,9.66%,39.94%,33.43%
KRIS RUSSELLDEDM20-21,Kris Russell,D,EDM,20-21,Penalty Kill,KRIS RUSSELL,35,20202021,68.53333333,40.83%,48.82%,38.87%
AARON EKBLADDFLA20-21,Aaron Ekblad,D,FLA,20-21,Penalty Kill,AARON EKBLAD,35,20202021,86.46666667,48.92%,48.09%,45.19%
RYAN ELLISDNSH20-21,Ryan Ellis,D,NSH,20-21,Penalty Kill,RYAN ELLIS,35,20202021,87.98333333,50.96%,50.28%,41.13%
CAL FOOTEDT.B20-21,Cal Foote,D,T.B,20-21,Penalty Kill,CAL FOOTE,35,20202021,16.28333333,8.36%,44.90%,34.31%
JAN RUTTADT.B20-21,Jan Rutta,D,T.B,20-21,Penalty Kill,JAN RUTTA,35,20202021,51.68333333,26.48%,47.36%,36.92%
MARK PYSYKDDAL20-21,Mark Pysyk,D,DAL,20-21,Penalty Kill,MARK PYSYK,36,20202021,28.98333333,16.06%,52.11%,41.09%
MATT GRZELCYKDBOS20-21,Matt Grzelcyk,D,BOS,20-21,Penalty Kill,MATT GRZELCYK,37,20202021,12.33333333,6.73%,39.96%,29.74%
LOGAN STANLEYDWPG20-21,Logan Stanley,D,WPG,20-21,Penalty Kill,LOGAN STANLEY,37,20202021,9.6,5.79%,41.33%,39.15%
