"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"694","Urho Vaakanainen","BOS","D","9","0.66666666666667","0.074074074074074","0","90","0.00","0","90","0.00","0","90","0.00","0","0","-","0","3.57","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","130","0.00","0","0","-","-","100.00","1.00","0","0","0","270","-","0","0","0","-"
"354","Brett Kulak","MTL","D","46","1.4166666666667","0.030797101449275","84.71","84.71","50.00","42.35","84.71","33.33","0","42.35","0.00","0","0","-","4.8","4.94","49.29","84.71","42.35","66.67","42.35","42.35","50.00","0","0","-","56.47","0","100.00","0","0","-","0","61.18","0.00","0","0","-","-","100.00","1.00","84.71","42.35","0","127.06","100.00","84.71","42.35","0","100.00"
"443","Garnet Hathaway","WSH","R","56","2.2333333333333","0.039880952380952","0","80.6","0.00","0","80.6","0.00","0","80.6","0.00","0","0","-","0","3.97","0.00","0","26.87","0.00","0","0","-","0","0","-","0","35.82","0.00","0","0","-","0","77.61","0.00","0","0","-","-","100.00","1.00","53.73","0","26.87","134.33","66.67","80.6","26.87","26.87","75.00"
"284","Adam Larsson","EDM","D","56","1.5166666666667","0.027083333333333","39.56","79.12","33.33","39.56","79.12","33.33","39.56","79.12","33.33","0","0","-","0.22","4.39","4.77","0","39.56","0.00","0","0","-","0","0","-","0","52.75","0.00","0","0","-","0","0","-","0","0","-","0.00","100.00","1.000","0","0","0","197.8","-","0","0","0","-"
"132","Matt Calvert","COL","L","18","2.3333333333333","0.12962962962963","0","77.14","0.00","0","77.14","0.00","0","77.14","0.00","0","0","-","0","4.76","0.00","0","77.14","0.00","0","51.43","0.00","0","0","-","0","34.29","0.00","0","0","-","0","0","-","0","0","-","-","100.00","1.00","25.71","0","25.71","128.57","50.00","51.43","0","51.43","50.00"
"529","Oliver Kylington","CGY","D","8","0.8","0.1","0","75","0.00","0","75","0.00","0","0","-","0","0","-","0","4.71","0.00","0","75","0.00","0","0","-","0","0","-","0","100","0.00","0","0","-","0","0","-","0","0","-","-","-","-","0","0","0","75","-","0","0","0","-"
"662","Oskar Steen","BOS","C","3","1.65","0.55","36.36","72.73","33.33","0","36.36","0.00","0","36.36","0.00","0","0","-","0","1.81","0.00","0","36.36","0.00","0","0","-","0","0","-","0","48.48","0.00","0","0","-","52.53","52.53","50.00","0","0","-","-","100.00","1.00","0","36.36","0","36.36","-","0","72.73","0","-"
"225","Jarred Tinordi","BOS, NSH","D","21","1.6666666666667","0.079365079365079","0","72","0.00","0","36","0.00","0","36","0.00","0","0","-","0","6.52","0.00","0","36","0.00","0","36","0.00","0","0","-","0","0","-","0","0","-","0","52","0.00","0","0","-","-","100.00","1.00","0","0","0","144","-","0","0","0","-"
"181","Cody Eakin","BUF","C","46","1.75","0.03804347826087","34.29","68.57","33.33","34.29","68.57","33.33","34.29","68.57","33.33","0","0","-","0.92","0.15","85.65","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","49.52","0","100.00","0","0","-","0.00","100.00","1.000","34.29","171.43","0","171.43","100.00","34.29","171.43","0","100.00"
"189","Brenden Dillon","WSH","D","56","2","0.035714285714286","60","60","50.00","60","60","50.00","60","60","50.00","30","0","100.00","6.33","4.68","57.47","60","60","50.00","30","0","100.00","0","0","-","40","80","33.33","40","0","100.00","0","0","-","0","0","-","50.00","100.00","1.500","90","90","0","150","100.00","90","90","0","100.00"
