"","Team","GP","TOI/GP","W","L","OTL","ROW","Points","Point %","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","SCSF/60","SCSA/60","SCSF%","SCGF/60","SCGA/60","SCGF%","SCSH%","SCSV%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"11","Columbus Blue Jackets","28","4.5917","7","17","4","6","18","0.321","13.07","85.87","13.21","11.67","62.54","15.72","11.2","45.27","19.83","0.47","4.67","9.09","0.65","5.25","11.08","5.6","39.67","12.37","5.6","27.53","16.90","0.47","4.2","10.00","8.33","84.75","2.33","14","14.29","2.33","11.67","16.67","0","2.33","0.00","0.00","80.00","3.27","25.67","11.29","3.27","15.87","17.07","0.47","1.87","20.00","14.29","88.24","5.13","43.87","10.48","3.27","17.27","15.91","0","0.47","0.00","0.00","97.30","4.17","89.69","0.939"
"12","Calgary Flames","28","5.7286","11","15","2","10","24","0.429","13.47","87.91","13.28","11.97","58.73","16.93","9.35","39.65","19.08","0.37","6.73","5.26","1.2","5.4","18.20","7.11","50.5","12.34","4.49","28.8","13.48","0.37","4.49","7.69","8.33","84.42","3.37","17.58","16.07","2.24","13.09","14.63","0.37","2.24","14.29","16.67","82.86","3.74","32.92","10.20","2.24","15.71","12.50","0","2.24","0.00","0.00","85.71","2.62","35.54","6.86","1.12","10.47","9.68","0","2.24","0.00","0.00","78.57","4.00","83.02","0.870"
"13","San Jose Sharks","28","6.2613","10","15","3","6","23","0.411","17.45","88.64","16.45","15.74","68.79","18.62","12.66","52.02","19.58","1.37","7.53","15.38","0.95","5.65","14.38","7.19","45.86","13.55","4.11","30.12","12.00","1.37","5.82","19.05","33.33","80.68","3.42","15.4","18.18","2.4","11.29","17.50","1.03","4.11","20.00","42.86","63.64","3.76","30.46","11.00","1.71","18.82","8.33","0.34","1.71","16.67","20.00","90.91","3.08","39.36","7.26","2.05","21.22","8.82","0","1.71","0.00","0.00","91.94","10.81","85.53","0.963"
"14","Anaheim Ducks","28","5.1292","11","12","5","10","27","0.482","12.95","96.09","11.88","12.53","74.36","14.42","10.03","53.48","15.79","0","6.27","0.00","0.72","6.58","9.80","6.27","43.87","12.50","3.76","28.83","11.54","0","4.18","0.00","0.00","85.51","3.34","20.05","14.29","2.51","15.04","14.29","0","1.67","0.00","0.00","88.89","2.92","23.81","10.94","1.25","13.79","8.33","0","2.51","0.00","0.00","81.82","2.51","49.72","4.80","2.51","24.65","9.23","0","2.09","0.00","0.00","91.53","0.00","88.28","0.883"
"15","Minnesota Wild","28","4.622","14","11","3","13","31","0.554","12.98","99.21","11.57","11.59","76.96","13.09","9.74","59.81","14.00","0.93","6.95","11.76","0.76","6.74","10.09","6.03","46.36","11.50","5.1","31.99","13.75","0.93","4.64","16.67","18.18","85.51","3.71","19.01","16.33","2.78","14.37","16.22","0","1.85","0.00","0.00","87.10","2.32","27.35","7.81","2.32","17.62","11.63","0.93","2.78","25.00","40.00","84.21","2.78","50.53","5.22","0.93","27.35","3.28","0","2.32","0.00","0.00","91.53","9.52","88.37","0.979"
"16","Toronto Maple Leafs","28","4.428","17","7","4","16","38","0.679","19.36","83.24","18.87","17.42","70.17","19.89","15.49","49.36","23.88","0.97","6.78","12.50","1.03","6.48","13.70","8.23","49.85","14.17","6.29","30","17.33","0.97","5.81","14.29","15.38","80.65","4.36","18.87","18.75","3.39","15.49","17.95","0.97","3.39","22.22","28.57","78.13","3.87","30.97","11.11","2.9","14.52","16.67","0","2.42","0.00","0.00","83.33","1.94","32.91","5.56","1.45","19.36","6.98","0","0.97","0.00","0.00","95.00","6.25","86.27","0.925"
"17","Buffalo Sabres","28","4.2631","7","18","3","6","17","0.304","12.57","106.06","10.59","10.56","82.94","11.29","10.05","59.82","14.39","1.01","9.55","9.52","0.6","7.7","7.21","5.53","57.3","8.80","5.03","36.19","12.20","0.5","6.53","7.14","10.00","81.94","2.01","22.62","8.16","2.01","17.09","10.53","0","6.03","0.00","0.00","64.71","3.52","34.68","9.21","3.02","19.1","13.64","0.5","0.5","50.00","16.67","97.37","3.02","45.74","6.19","1.51","22.62","6.25","0.5","3.02","14.29","33.33","86.67","10.00","84.03","0.940"
"18","Winnipeg Jets","28","4.6077","17","10","1","17","35","0.625","11.63","113.01","9.33","10.7","87.9","10.85","8.37","66.04","11.25","0.93","7.44","11.11","0.58","8.66","6.24","4.65","64.18","6.76","3.72","41.86","8.16","0.93","5.58","14.29","25.00","86.67","0.93","28.37","3.17","0.93","23.72","3.77","0.93","4.19","18.18","100.00","82.35","3.72","35.81","9.41","2.79","18.14","13.33","0","1.4","0.00","0.00","92.31","1.86","47.9","3.74","0.47","23.72","1.92","0","1.86","0.00","0.00","92.16","11.11","88.73","0.998"
"19","Arizona Coyotes","28","5.6726","12","14","2","11","26","0.464","12.84","102.75","11.11","10.2","75.17","11.95","9.07","57.42","13.64","0.38","5.29","6.67","0.68","6.85","9.04","6.42","49.11","11.56","4.53","29.09","13.48","0","3.78","0.00","0.00","87.01","3.02","17.75","14.55","2.64","13.6","16.28","0","1.51","0.00","0.00","88.89","3.4","31.35","9.78","1.89","15.49","10.87","0","2.27","0.00","0.00","85.37","3.4","52.51","6.08","2.27","27.95","7.50","0.38","1.51","20.00","16.67","94.59","4.17","90.79","0.950"
"20","New Jersey Devils","28","4.6839","12","12","4","12","28","0.500","11.89","105.68","10.12","10.06","82.35","10.89","8.23","64.51","11.32","1.37","10.98","11.11","0.61","7.97","7.06","4.57","58.56","7.25","3.2","39.34","7.53","1.37","9.61","12.50","42.86","75.58","2.74","25.62","9.68","1.83","21.5","7.84","0.91","6.4","12.50","50.00","70.21","1.83","32.94","5.26","1.37","17.84","7.14","0.46","3.2","12.50","33.33","82.05","4.12","46.21","8.18","1.83","25.16","6.78","0","1.37","0.00","0.00","94.55","16.67","82.98","0.996"
