"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"236","Joonas Donskoi","COL, SEA","R","28","38.966666666667","1.3916666666667","-3.68","-5.99","-2.61","-1.84","-0.49","-1.83","1.24","-15.92","4.81","0","-2.15","0.00","-0.3","2.2","-4.44","-4.92","14.86","-8.51","-1.23","16.04","-6.45","0","-1.23","-","-4.92","-1.57","-9.52","0","-1.23","0.00","-3.11","-29.23","-2.06","0","0.01","0.00","0.00","89.29","0.893","0","9.24","35.41","49.27","0.00","0","13.86","49.27","0.00"
"762","Ilya Lyubushkin","ARI","D","24","6.7166666666667","0.27986111111111","-11.09","-6.06","-10.42","-9.43","-0.08","-11.64","-7.76","-2.42","-12.17","0","10.66","0.00","-0.59","2.09","-7.92","-5.55","7.57","-10.75","-2.22","17.43","-10.81","0","6.71","0.00","-4.44","-13.15","-10.71","0","-3.7","0.00","-4.01","-31.79","-5.38","0","9.7","0.00","-","66.67","0.67","0","0","53.6","98.26","0.00","0","0","62.53","0.00"
"696","Miro Heiskanen","DAL","D","32","45.983333333333","1.4369791666667","6.1","-6.12","4.87","7.11","5.29","6.19","5.23","5.56","5.61","1.3","6.09","11.11","0.68","1.14","6.40","5.95","2.95","7.84","2.47","6.69","6.23","1.3","3.63","16.67","4.64","-4.99","9.98","0","-1.93","0.00","-2.51","-8.92","-2.08","0","5.65","0.00","11.11","82.98","0.941","1.3","2.61","28.71","40.45","4.35","1.3","3.91","43.06","2.94"
"201","Calle Jarnkrok","NSH","C","24","47.183333333333","1.9659722222222","0.03","-6.17","0.83","0.41","-0.84","0.64","1.09","-5.96","3.16","0.3","1.77","0.00","0.08","-1.31","2.84","1.48","-9.39","4.80","-1.36","-9.73","1.85","-0.98","0.89","-25.00","3.79","0.46","8.93","1.7","2.48","25.00","1.28","6.05","1.13","0","-1.41","0.00","14.29","83.33","0.976","0","7.63","25.43","66.13","0.00","1.27","8.9","35.61","3.45"
"228","Tyler Seguin","DAL","C","7","4.0333333333333","0.57619047619048","-10.68","-6.2","-8.82","-7.12","19.85","-9.30","-7.12","3.7","-14.81","0","7.76","0.00","-0.63","0.41","-11.01","-8.9","-6.98","-14.71","-3.56","-2.92","-16.67","0","9.54","0.00","-7.12","-5.41","-13.64","0","-2.37","0.00","0","1.13","0.00","0","0","-","-","66.67","0.67","14.88","0","104.13","59.5","12.50","14.88","0","104.13","12.50"
"350","Jaccob Slavin","CAR","D","30","92.866666666667","3.0955555555556","7.45","-6.34","7.52","6.96","-12.5","10.59","5.27","-7.28","9.80","0.57","0.57","5.38","1.16","-1.41","18.23","2.27","-7.93","6.06","-1.28","-7.15","1.70","0.65","-0.48","14.29","4.74","-1.03","10.75","-0.11","1.62","-25.00","4.09","3.68","5.80","0","-0.23","0.00","8.00","82.81","0.908","0","3.23","29.07","29.07","0.00","2.58","11.63","45.23","5.41"
"51","Keith Yandle","FLA","D","28","1.4","0.05","30.41","-6.38","21.43","-9.96","10.21","-11.65","-8.3","33.44","-13.70","-0.41","-7.05","-","-0.62","-2.2","-8.56","38.29","-52.27","91.97","-2.49","-19.91","-","0","-3.73","-","54.38","-43.14","93.98","-0.55","-1.66","-25.00","-8.39","67.48","-12.96","0","-3","0.00","-","100.00","1.00","0","0","0","171.43","-","0","0","0","-"
"119","Erik Karlsson","S.J","D","30","50.85","1.695","4.38","-6.66","4.16","5.18","-2.72","5.13","2.44","-10.14","6.02","1.37","-2.04","17.46","0.75","-1.16","11.64","0.82","-7.36","2.89","2.92","-4.87","16.96","1.86","-3.28","56.67","-2.8","-3.31","-4.39","-0.66","0.5","-20.00","5.66","6.74","6.92","0","1.26","0.00","15.38","87.80","1.032","0","4.72","27.14","53.1","0.00","2.36","4.72","48.38","4.65"
"695","Henri Jokiharju","BUF","D","25","22.366666666667","0.89466666666667","-5.26","-6.76","-3.53","-2.46","-9.89","-1.33","-2.46","7.4","-4.08","-1.4","-2.46","-11.76","0.29","-2.11","5.29","3.14","-19.55","8.00","3.96","-14.61","23.81","0","1.74","0.00","-1.09","-6.58","-0.93","-0.93","-0.93","-50.00","-5.06","18.64","-7.46","-1.01","-5.06","-16.67","0.00","88.46","0.885","0","2.68","24.14","61.7","0.00","0","5.37","32.19","0.00"
"206","Greg McKegg","BOS, NYR","C","7","5.6166666666667","0.80238095238095","-14.7","-6.78","-12.50","-14.7","1.26","-16.67","-9.8","28.22","-17.39","-2.45","0","-","-1.31","-2.1","-19.13","-9.8","-51.46","-","-2.45","-9.8","-","0","0","-","-9.8","-55.55","-","0","0","-","-3.54","68.08","-4.76","0","0","-","-","100.00","1.00","10.68","10.68","74.78","42.73","12.50","10.68","10.68","117.51","8.33"
"680","Nico Hischier","N.J","C","12","18.983333333333","1.5819444444444","-6.26","-6.79","-4.16","-4.01","-19.07","-1.14","-2.67","-16.89","-0.65","0.91","-8.51","13.89","-0.8","-1.5","-7.14","-1.34","-1.08","-1.70","-2.25","0.13","-6.67","-2.25","-1.76","-16.67","1.22","-1.61","2.45","4.21","-8.99","100.00","-8.43","-8.24","-9.85","0","0","-","50.00","81.25","1.313","0","12.64","47.41","34.77","0.00","0","12.64","60.05","0.00"
"357","Matthew Benning","NSH","D","26","54.25","2.0865384615385","-2.51","-6.88","-1.70","-3.36","-1.49","-3.99","-4.2","-0.83","-6.69","-1.37","-0.46","-14.29","-0.12","-1.36","-0.37","-0.36","-1.73","-0.34","0.16","-11.77","7.49","-0.68","0.32","-14.29","-0.7","13.38","-5.22","-0.91","1.69","-25.00","0.23","-6.08","0.78","0","-2.96","0.00","0.00","84.44","0.844","0","2.21","19.91","51.98","0.00","2.21","5.53","30.97","6.67"
"367","Danny DeKeyser","DET","D","24","43.05","1.79375","5.52","-6.96","4.89","7.18","-16.72","10.34","7.83","-13.34","13.27","0","-2.2","0.00","0.03","-0.29","0.62","0.48","5.21","-0.04","0","3.33","0.00","0","2.14","0.00","0.64","2.51","0.40","0","-0.36","0.00","-4.41","-10.76","-6.00","0","-5.88","0.00","0.00","85.71","0.857","0","2.79","41.81","25.09","0.00","1.39","8.36","65.51","2.08"
"188","Ben Chiarot","MTL","D","24","74.233333333333","3.0930555555556","-1.28","-7","-0.32","-1.19","-7.46","-0.11","-0.94","-5.59","-0.15","-3.57","-5.06","-25.00","-0.62","-1.46","-4.92","-3.28","-2.99","-3.71","-1.15","-1.58","-3.13","-1.79","-1.15","-33.33","-2.84","-1.88","-4.07","-2.38","-0.45","-33.33","0.67","-5.67","1.80","0","-5.16","0.00","0.00","90.79","0.908","0","8.89","33.14","15.36","0.00","0","9.7","54.15","0.00"
