"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"853","Alec Regula","CHI","D","3","35.516666666667","11.838888888889","-10.89","23.46","-13.03","-13.55","23.77","-19.29","-10.02","18.64","-19.29","-4.07","-0.57","-64.29","-1.26","3.22","-29.30","-9.11","11.43","-15.97","-10.98","12.88","-38.89","-3.17","0.33","-70.00","2.49","-1.93","5.41","-1.21","-1.21","-50.00","-1.09","7.14","-4.91","0","0","-","0.00","96.97","0.970","5.07","6.76","6.76","48.99","42.86","13.51","11.83","20.27","40.00"
"858","Sampo Ranta","COL","L","4","41.333333333333","10.333333333333","-10.82","22.6","-13.59","-17.38","9.72","-16.68","-7.35","8.69","-12.03","-3.42","-3.49","-40.91","-1.35","-0.16","-14.64","-6.66","3.99","-9.21","-6.44","2.79","-21.43","-2.66","-1.52","-","-0.29","1.6","-2.34","-0.51","-1.11","-14.29","-12.65","25.09","-22.50","-0.55","-1.1","-33.33","0.00","96.43","0.964","8.71","8.71","10.16","58.06","46.15","13.06","11.61","17.42","42.86"
"660","Joey Anderson","TOR","R","1","9.6","9.6","-2.23","22.5","-9.74","-20.14","13.68","-25.21","-16.45","4.29","-29.05","3.41","-2.84","50.00","-1.81","-0.29","-27.37","-13.04","-6.22","-11.67","-12.77","-1.69","-47.37","-1.42","-1.42","-","-0.36","-6.04","7.14","6.44","-1.89","50.00","15.61","23.42","0.00","0","0","-","100.00","100.00","2.000","12.5","6.25","0","62.5","100.00","25","12.5","18.75","57.14"
"867","Nils Lundkvist","NYR","D","4","50.216666666667","12.554166666667","-10.04","21.96","-13.74","-10.45","15.54","-15.01","-11.65","17.1","-23.33","-2.09","1.16","-39.39","-1.27","0.92","-24.14","-8.88","15.12","-19.28","-6.27","5.27","-30.23","-1.64","1.57","-66.67","-3.48","13.15","-15.02","-0.05","-0.55","25.00","0.87","9.98","-6.06","0","0","-","6.67","94.59","1.013","4.78","9.56","3.58","58.55","57.14","15.53","14.34","14.34","52.00"
"772","Jonas Rondbjerg","VGK","R","1","10.166666666667","10.166666666667","-24.07","21.73","-18.71","-17.08","18.74","-18.75","-9.35","16.5","-15.81","-2.58","-5.15","-","-1.01","2.71","-27.10","-11.93","13.71","-19.67","2.78","23.81","-18.75","-1.29","-3.87","-","-19.62","-13.47","-15.15","-1.72","-1.72","-50.00","-17.53","7.56","-20.83","0","0","-","0.00","100.00","1.000","5.9","11.8","5.9","64.92","50.00","11.8","29.51","17.7","40.00"
"875","Juuso Riikola","PIT","D","2","18.45","9.225","-1.6","21.49","-11.48","-7.61","7.77","-11.84","2.63","6.73","-4.17","0.52","-0.16","5.56","-0.14","0.4","-6.39","9.3","15.45","-7.63","4.65","0.19","7.66","1.2","-2.73","57.14","6.2","20.34","-19.05","-0.91","3.43","-50.00","-12.78","9.96","-20.00","0","0","-","11.11","88.89","1.000","13.01","3.25","3.25","74.8","80.00","19.51","3.25","19.51","50.00"
"415","Jonny Brodzinski","NYR","C","5","53.8","10.76","-9.88","21.24","-13.10","-1.85","21.32","-11.30","0.42","6.5","-4.08","-1.48","-2.12","5.56","-0.93","1.99","-28.19","-13.47","17.47","-30.32","-5.11","12.77","-35.10","-0.18","-0.18","0.00","-11.14","6.28","-26.70","-0.86","-0.86","-50.00","4.82","9.7","-1.51","-0.94","-1.87","-33.33","4.76","97.06","1.018","10.04","13.38","7.81","62.45","56.25","16.73","20.07","22.3","42.86"
"557","Vladimir Tkachev","L.A","L","3","33.016666666667","11.005555555556","-43.84","19.67","-30.68","-36.63","2.33","-28.03","-30.08","7.84","-36.56","-2.86","1.73","-60.00","-2.02","-0.16","-30.39","-19.3","2","-22.48","-9.71","0.51","-32.30","-1.43","0.39","-50.00","-12.79","1.99","-17.63","-0.64","1.79","-50.00","-29.12","22.47","-37.71","-1.38","0","-100.00","0.00","89.47","0.895","14.54","9.09","7.27","49.07","66.67","21.81","12.72","19.99","52.17"
"933","Jack Ahcan","BOS","D","3","54.533333333333","18.177777777778","-2","18.8","-8.81","2.73","17.75","-7.96","3.24","11.09","-7.35","-1.92","0.74","-42.86","-0.02","0.6","-7.03","0.8","9.07","-7.38","2.76","0.77","10.23","-1.92","0.92","-60.00","-2.62","11.06","-17.07","0","0.61","0.00","-2.35","18.94","-12.06","0","-0.92","0.00","0.00","90.32","0.903","12.1","9.9","4.4","46.21","73.33","24.21","13.2","11","68.75"
"821","Ivan Chekhovich","S.J","L","4","41.1","10.275","-16","18.67","-16.25","-13.46","12.09","-15.66","-9.82","7.34","-13.81","-0.36","1.83","-11.25","-1.18","0.68","-18.92","-8.73","10.25","-17.14","-7.29","5.49","-29.23","-1.09","0.37","-50.00","-1.92","6.35","-9.53","1.46","0.49","20.83","-5.77","13.75","-13.10","-0.53","2.11","-100.00","7.14","86.21","0.933","5.84","7.3","8.76","54.01","40.00","8.76","13.14","21.9","28.57"
